,paul15_clusters,n_counts_all,louvain,louvain_anno,cell_type,dpt_pseudotime
980,15Mo,2108.0,2,2,Neutrophils,0.32752994
981,15Mo,2787.0,1,1,Monocyte Progenitor,0.26208246
982,4Ery,3944.0,6,6,Ery1,0.59406835
983,14Mo,1973.0,1,1,Monocyte Progenitor,0.30035785
984,2Ery,2914.0,5,5,Ery0,0.7771076
985,2Ery,4372.0,3,3,Ery0,0.7832851
986,16Neu,1878.0,14,14,Neutrophils,0.30757982
987,13Baso,3281.0,11,11,Monocyte Progenitor,0.26994276
988,14Mo,2295.0,0,0,HPC,0.19277622
989,5Ery,1776.0,7,7,Ery4,0.5604426
990,16Neu,1963.0,2,2,Neutrophils,0.28734446
991,14Mo,1224.0,9,9,Monocyte Progenitor,0.27859643
992,16Neu,1746.0,2,2,Neutrophils,0.25106496
993,8Mk,1936.0,20,20/Mk,Mep,0.21403489
994,7MEP,527.0,12,12,Ery4,0.30221903
995,8Mk,577.0,8,8,Ery4,0.20170915
996,14Mo,1685.0,1,1,Monocyte Progenitor,0.25963545
997,10GMP,1101.0,0,0,HPC,0.13225272
998,5Ery,3985.0,6,6,Ery1,0.6146945
999,10GMP,564.0,8,8,Ery4,0.19533372
1000,3Ery,3805.0,6,6,Ery1,0.6420071
1001,13Baso,2531.0,0,0,HPC,0.17313613
1002,14Mo,1190.0,1,1,Monocyte Progenitor,0.31930706
1003,3Ery,4390.0,3,3,Ery0,0.7334448
1004,2Ery,1926.0,6,6,Ery1,0.7280491
1005,2Ery,1889.0,5,5,Ery0,0.8441749
1006,14Mo,1396.0,2,2,Neutrophils,0.25103566
1007,2Ery,3289.0,5,5,Ery0,0.77261883
1008,6Ery,1204.0,7,7,Ery4,0.32170874
1009,4Ery,3660.0,3,3,Ery0,0.785606
1010,15Mo,2393.0,2,2,Neutrophils,0.3358571
1011,13Baso,2437.0,11,11,Monocyte Progenitor,0.24932185
1012,6Ery,1017.0,13,13,Ery3,0.5408873
1013,12Baso,746.0,16,16/Stem,Early Progenitor,0.0397451
1014,16Neu,1274.0,14,14,Neutrophils,0.3551894
1015,14Mo,2385.0,1,1,Monocyte Progenitor,0.28502527
1016,15Mo,2051.0,2,2,Neutrophils,0.31261775
1017,13Baso,6620.0,9,9,Monocyte Progenitor,0.30635807
1018,2Ery,3679.0,3,3,Ery0,0.70435274
1019,14Mo,1246.0,11,11,Monocyte Progenitor,0.24299075
1020,14Mo,990.0,11,11,Monocyte Progenitor,0.26190108
1021,12Baso,491.0,16,16/Stem,Early Progenitor,0.08220597
1022,10GMP,461.0,0,0,HPC,0.113884225
1023,7MEP,425.0,8,8,Ery4,0.24640378
1024,2Ery,3704.0,5,5,Ery0,0.76776457
1025,4Ery,2327.0,6,6,Ery1,0.6471198
1026,3Ery,2216.0,6,6,Ery1,0.6625546
1027,16Neu,1812.0,2,2,Neutrophils,0.373604
1028,5Ery,1253.0,13,13,Ery3,0.6214078
1029,2Ery,2205.0,5,5,Ery0,0.7249699
1030,3Ery,3969.0,15,15,Ery1,0.68722594
1031,2Ery,3191.0,5,5,Ery0,0.82929945
1032,14Mo,1848.0,11,11,Monocyte Progenitor,0.2709318
1033,14Mo,2877.0,1,1,Monocyte Progenitor,0.26932
1034,8Mk,1207.0,20,20/Mk,Mep,0.36769384
1035,5Ery,2923.0,6,6,Ery1,0.58890635
1036,7MEP,579.0,7,7,Ery4,0.31557122
1037,7MEP,452.0,8,8,Ery4,0.15291452
1038,16Neu,2046.0,2,2,Neutrophils,0.31968442
1039,2Ery,3043.0,5,5,Ery0,0.62940276
1040,13Baso,2867.0,0,0,HPC,0.117918134
1041,5Ery,3981.0,6,6,Ery1,0.6214052
1042,5Ery,2641.0,13,13,Ery3,0.6249657
1043,14Mo,2014.0,4,4,HPC,0.23448743
1044,6Ery,1148.0,7,7,Ery4,0.3686147
1045,14Mo,1727.0,9,9,Monocyte Progenitor,0.26605883
1046,7MEP,569.0,16,16/Stem,Early Progenitor,0.0715923
1047,2Ery,2508.0,5,5,Ery0,0.6978768
1048,13Baso,1097.0,0,0,HPC,0.18627669
1049,2Ery,3379.0,10,10/Ery,Ery0,0.807472
1050,14Mo,927.0,4,4,HPC,0.20047829
1051,2Ery,2761.0,5,5,Ery0,0.8144709
1052,15Mo,2114.0,2,2,Neutrophils,0.3543968
1053,3Ery,2709.0,6,6,Ery1,0.67245674
1054,5Ery,4336.0,18,18,Ery2,0.60557103
1055,10GMP,793.0,8,8,Ery4,0.24095485
1056,6Ery,1212.0,7,7,Ery4,0.42966717
1057,15Mo,549.0,1,1,Monocyte Progenitor,0.27287596
1058,1Ery,4199.0,10,10/Ery,Ery0,0.8303677
1059,4Ery,2392.0,15,15,Ery1,0.6504794
1060,12Baso,1032.0,8,8,Ery4,0.16213937
1061,4Ery,1362.0,6,6,Ery1,0.63884145
1062,13Baso,3157.0,9,9,Monocyte Progenitor,0.25011498
1063,6Ery,3646.0,15,15,Ery1,0.7307882
1064,3Ery,555.0,6,6,Ery1,0.5880052
1065,8Mk,1886.0,8,8,Ery4,0.29467234
1066,6Ery,3311.0,18,18,Ery2,0.5009667
1067,3Ery,1268.0,15,15,Ery1,0.66543645
1068,3Ery,3667.0,15,15,Ery1,0.75097156
1069,4Ery,6276.0,17,17,Ery0,0.8257681
1070,16Neu,3050.0,19,19/Neu,Neutrophils,0.3859069
1071,7MEP,531.0,8,8,Ery4,0.28778538
1072,3Ery,3347.0,17,17,Ery0,0.83055043
1073,15Mo,3476.0,2,2,Neutrophils,0.29072842
1074,10GMP,1038.0,0,0,HPC,0.12320452
1075,12Baso,1917.0,16,16/Stem,Early Progenitor,0.06667299
1076,3Ery,4217.0,17,17,Ery0,0.8374382
1077,3Ery,5022.0,3,3,Ery0,0.704471
1078,14Mo,5389.0,9,9,Monocyte Progenitor,0.2932248
1079,9GMP,1594.0,0,0,HPC,0.03251227
1080,12Baso,1274.0,16,16/Stem,Early Progenitor,0.06726768
1081,15Mo,1861.0,14,14,Neutrophils,0.42701256
1082,15Mo,3339.0,2,2,Neutrophils,0.2336511
1083,2Ery,4856.0,10,10/Ery,Ery0,0.72752315
1084,14Mo,1436.0,1,1,Monocyte Progenitor,0.25529116
1085,4Ery,3005.0,3,3,Ery0,0.7427188
1086,3Ery,7473.0,17,17,Ery0,0.8007087
1087,14Mo,2773.0,9,9,Monocyte Progenitor,0.275883
1088,14Mo,2273.0,1,1,Monocyte Progenitor,0.20498763
1089,8Mk,6765.0,20,20/Mk,Mep,0.52216434
1090,16Neu,1902.0,19,19/Neu,Neutrophils,0.3727204
1091,10GMP,494.0,12,12,Ery4,0.18950912
1092,2Ery,4079.0,5,5,Ery0,0.55633444
1093,2Ery,3622.0,10,10/Ery,Ery0,0.65410966
1094,3Ery,5072.0,3,3,Ery0,0.738038
1095,9GMP,673.0,8,8,Ery4,0.22819217
1096,15Mo,3957.0,2,2,Neutrophils,0.28589064
1097,14Mo,2312.0,9,9,Monocyte Progenitor,0.2801511
1098,5Ery,3135.0,6,6,Ery1,0.64956397
1099,14Mo,1203.0,4,4,HPC,0.1843082
1100,2Ery,4545.0,10,10/Ery,Ery0,0.75199527
1101,13Baso,2200.0,11,11,Monocyte Progenitor,0.22886337
1102,14Mo,5138.0,9,9,Monocyte Progenitor,0.26140323
1103,14Mo,4021.0,9,9,Monocyte Progenitor,0.28722617
1104,14Mo,1960.0,0,0,HPC,0.19434877
1105,2Ery,4827.0,3,3,Ery0,0.8293029
1106,2Ery,4076.0,10,10/Ery,Ery0,0.8001659
1107,13Baso,1278.0,9,9,Monocyte Progenitor,0.28001815
1108,6Ery,728.0,7,7,Ery4,0.33689824
1109,7MEP,364.0,8,8,Ery4,0.12939517
1110,7MEP,460.0,12,12,Ery4,0.2466949
1111,13Baso,2855.0,0,0,HPC,0.19492956
1112,3Ery,3583.0,15,15,Ery1,0.69997823
1113,3Ery,1610.0,7,7,Ery4,0.5148884
1114,14Mo,1965.0,4,4,HPC,0.25135213
1115,2Ery,497.0,13,13,Ery3,0.5859941
1116,2Ery,2274.0,5,5,Ery0,0.65559477
1117,8Mk,1261.0,20,20/Mk,Mep,0.20632286
1118,7MEP,524.0,8,8,Ery4,0.27693716
1119,16Neu,1766.0,14,14,Neutrophils,0.26409674
1120,5Ery,1946.0,7,7,Ery4,0.54493296
1121,14Mo,4350.0,1,1,Monocyte Progenitor,0.32335436
1122,2Ery,2514.0,13,13,Ery3,0.55534923
1123,14Mo,1520.0,4,4,HPC,0.25671107
1124,8Mk,1625.0,16,16/Stem,Early Progenitor,0.15326452
1125,7MEP,874.0,8,8,Ery4,0.19113371
1126,19Lymph,661.0,21,21,DC,inf
1127,14Mo,3709.0,4,4,HPC,0.28694502
1128,12Baso,436.0,8,8,Ery4,0.25011876
1129,13Baso,2782.0,11,11,Monocyte Progenitor,0.2603252
1130,12Baso,1176.0,12,12,Ery4,0.23286688
1131,13Baso,2884.0,11,11,Monocyte Progenitor,0.27139944
1132,4Ery,8590.0,3,3,Ery0,0.6951887
1133,14Mo,4574.0,1,1,Monocyte Progenitor,0.20992951
1134,2Ery,6801.0,17,17,Ery0,0.8500352
1135,5Ery,2981.0,13,13,Ery3,0.6992234
1136,11DC,701.0,23,23,Lymph,inf
1137,16Neu,3051.0,19,19/Neu,Neutrophils,0.40444395
1138,3Ery,9122.0,3,3,Ery0,0.71331275
1139,11DC,1415.0,23,23,Lymph,inf
1140,3Ery,4099.0,3,3,Ery0,0.682126
1141,4Ery,4076.0,3,3,Ery0,0.7219831
1142,3Ery,5319.0,17,17,Ery0,0.82071275
1143,6Ery,1187.0,7,7,Ery4,0.44509593
1144,15Mo,3433.0,2,2,Neutrophils,0.36432076
1145,17Neu,668.0,22,22/Baso,Basophil,0.35830432
1146,14Mo,1628.0,9,9,Monocyte Progenitor,0.3228193
1147,4Ery,3925.0,17,17,Ery0,0.8699471
1148,9GMP,1391.0,0,0,HPC,0.14859985
1149,7MEP,543.0,8,8,Ery4,0.22808088
1150,7MEP,422.0,12,12,Ery4,0.22603916
1151,14Mo,3614.0,4,4,HPC,0.2322759
1152,13Baso,2115.0,4,4,HPC,0.17574419
1153,4Ery,3026.0,15,15,Ery1,0.7025707
1154,13Baso,585.0,0,0,HPC,0.060074512
1155,14Mo,2523.0,1,1,Monocyte Progenitor,0.18985961
1156,3Ery,4251.0,6,6,Ery1,0.710645
1157,2Ery,3245.0,10,10/Ery,Ery0,0.8309551
1158,3Ery,6164.0,15,15,Ery1,0.70091003
1159,14Mo,2550.0,9,9,Monocyte Progenitor,0.32365683
1160,6Ery,3222.0,18,18,Ery2,0.5766158
1161,2Ery,2124.0,5,5,Ery0,0.6858428
1162,10GMP,1896.0,0,0,HPC,0.14182451
1163,13Baso,1571.0,1,1,Monocyte Progenitor,0.1836664
1164,5Ery,2033.0,7,7,Ery4,0.518878
1165,7MEP,467.0,12,12,Ery4,0.2540781
1166,13Baso,2563.0,9,9,Monocyte Progenitor,0.28738374
1167,3Ery,2516.0,10,10/Ery,Ery0,0.8157132
1168,2Ery,3351.0,5,5,Ery0,0.6673641
1169,14Mo,2264.0,11,11,Monocyte Progenitor,0.28013098
1170,3Ery,3108.0,3,3,Ery0,0.70355016
1171,2Ery,2614.0,5,5,Ery0,0.749522
1172,10GMP,429.0,12,12,Ery4,0.23875836
1173,13Baso,4036.0,9,9,Monocyte Progenitor,0.3262801
1174,14Mo,3378.0,11,11,Monocyte Progenitor,0.2560036
1175,4Ery,3853.0,3,3,Ery0,0.67525053
1176,5Ery,2216.0,13,13,Ery3,0.58450985
1177,18Eos,1377.0,4,4,HPC,0.18777315
1178,2Ery,1151.0,13,13,Ery3,0.53934425
1179,14Mo,2411.0,2,2,Neutrophils,0.20967165
1180,3Ery,5905.0,15,15,Ery1,0.73141384
1181,13Baso,1307.0,0,0,HPC,0.18512194
1182,5Ery,3047.0,6,6,Ery1,0.5321999
1183,12Baso,1748.0,16,16/Stem,Early Progenitor,0.024134059
1184,5Ery,1519.0,13,13,Ery3,0.48730645
1185,2Ery,5755.0,5,5,Ery0,0.7394232
1186,7MEP,364.0,8,8,Ery4,0.21798654
1187,5Ery,880.0,7,7,Ery4,0.41091496
1188,16Neu,1484.0,14,14,Neutrophils,0.34566748
1189,15Mo,6061.0,14,14,Neutrophils,0.3507769
1190,14Mo,1253.0,4,4,HPC,0.19419435
1191,5Ery,2902.0,6,6,Ery1,0.7074329
1192,16Neu,3445.0,14,14,Neutrophils,0.35475993
1193,2Ery,3140.0,5,5,Ery0,0.7620851
1194,2Ery,3479.0,10,10/Ery,Ery0,0.6457361
1195,6Ery,2385.0,18,18,Ery2,0.6204686
1196,2Ery,3115.0,5,5,Ery0,0.7592083
1197,5Ery,3858.0,6,6,Ery1,0.60700744
1198,14Mo,1841.0,4,4,HPC,0.18968788
1199,2Ery,4774.0,10,10/Ery,Ery0,0.79124665
1200,3Ery,5999.0,18,18,Ery2,0.5807936
1201,5Ery,4733.0,15,15,Ery1,0.6929285
1202,16Neu,3063.0,19,19/Neu,Neutrophils,0.4042932
1203,10GMP,2253.0,0,0,HPC,0.10502309
1204,14Mo,2094.0,11,11,Monocyte Progenitor,0.292306
1205,1Ery,3279.0,10,10/Ery,Ery0,0.86328495
1206,2Ery,3073.0,5,5,Ery0,0.77102405
1207,3Ery,5910.0,17,17,Ery0,0.7304373
1208,15Mo,2316.0,2,2,Neutrophils,0.3669531
1209,7MEP,695.0,8,8,Ery4,0.18041804
1210,4Ery,2781.0,6,6,Ery1,0.6542827
1211,7MEP,395.0,8,8,Ery4,0.21887362
1212,5Ery,2306.0,13,13,Ery3,0.556367
1213,2Ery,4309.0,6,6,Ery1,0.6888716
1214,13Baso,3101.0,0,0,HPC,0.19182791
1215,14Mo,4442.0,1,1,Monocyte Progenitor,0.2799726
1216,15Mo,3280.0,1,1,Monocyte Progenitor,0.27545047
1217,2Ery,4867.0,3,3,Ery0,0.8012406
1218,14Mo,1879.0,4,4,HPC,0.2205956
1219,6Ery,2299.0,7,7,Ery4,0.49745852
1220,12Baso,1932.0,16,16/Stem,Early Progenitor,0.02939796
1221,2Ery,5413.0,3,3,Ery0,0.7198842
1222,19Lymph,623.0,21,21,DC,inf
1223,6Ery,1461.0,7,7,Ery4,0.5091493
1224,14Mo,4699.0,4,4,HPC,0.23008005
1225,6Ery,768.0,12,12,Ery4,0.29425213
1226,17Neu,580.0,22,22/Baso,Basophil,0.32705826
1227,6Ery,2449.0,18,18,Ery2,0.62361217
1228,6Ery,432.0,12,12,Ery4,0.2253292
1229,9GMP,674.0,16,16/Stem,Early Progenitor,0.0359307
1230,3Ery,4160.0,15,15,Ery1,0.69042045
1231,14Mo,3296.0,9,9,Monocyte Progenitor,0.29842907
1232,6Ery,3020.0,18,18,Ery2,0.5437869
1233,15Mo,4977.0,2,2,Neutrophils,0.36020952
1234,15Mo,2094.0,1,1,Monocyte Progenitor,0.29143116
1235,13Baso,2114.0,9,9,Monocyte Progenitor,0.26883662
1236,3Ery,4359.0,3,3,Ery0,0.7742478
1237,16Neu,1464.0,14,14,Neutrophils,0.41642815
1238,7MEP,369.0,8,8,Ery4,0.2129721
1239,3Ery,11366.0,3,3,Ery0,0.7380829
1240,13Baso,4016.0,4,4,HPC,0.28731045
1241,3Ery,4430.0,17,17,Ery0,0.7778036
1242,14Mo,2497.0,4,4,HPC,0.25716537
1243,14Mo,3483.0,24,24/Mo,Monocyte Progenitor,0.29380432
1244,8Mk,1324.0,20,20/Mk,Mep,0.19886623
1245,16Neu,1845.0,2,2,Neutrophils,0.24189742
1246,14Mo,1560.0,4,4,HPC,0.20210765
1247,17Neu,807.0,22,22/Baso,Basophil,0.32040054
1248,3Ery,5295.0,17,17,Ery0,0.8449913
1249,5Ery,1814.0,13,13,Ery3,0.5572675
1250,10GMP,980.0,0,0,HPC,0.087975346
1251,16Neu,1999.0,14,14,Neutrophils,0.33126345
1252,2Ery,3556.0,6,6,Ery1,0.65013754
1253,14Mo,1062.0,4,4,HPC,0.24095498
1254,6Ery,1233.0,7,7,Ery4,0.36019382
1255,14Mo,3531.0,9,9,Monocyte Progenitor,0.28237993
1256,13Baso,4142.0,9,9,Monocyte Progenitor,0.2602934
1257,5Ery,1826.0,7,7,Ery4,0.53101397
1258,10GMP,945.0,16,16/Stem,Early Progenitor,0.043781817
1259,7MEP,346.0,12,12,Ery4,0.2701754
1260,2Ery,2681.0,6,6,Ery1,0.75786734
1261,2Ery,2743.0,5,5,Ery0,0.6541208
1262,2Ery,3465.0,10,10/Ery,Ery0,0.7894087
1263,14Mo,4989.0,4,4,HPC,0.20072162
1264,7MEP,766.0,8,8,Ery4,0.29555276
1265,8Mk,1693.0,20,20/Mk,Mep,0.34366155
1266,14Mo,2586.0,1,1,Monocyte Progenitor,0.2509546
1267,2Ery,2603.0,5,5,Ery0,0.7196112
1268,2Ery,3273.0,5,5,Ery0,0.61916786
1269,14Mo,1540.0,4,4,HPC,0.2024892
1270,13Baso,3209.0,4,4,HPC,0.26069498
1271,7MEP,1200.0,8,8,Ery4,0.2830557
1272,4Ery,6553.0,17,17,Ery0,0.78070086
1273,13Baso,2816.0,0,0,HPC,0.22536251
1274,13Baso,1169.0,1,1,Monocyte Progenitor,0.21167229
1275,5Ery,1304.0,18,18,Ery2,0.53991705
1276,2Ery,1681.0,5,5,Ery0,0.82419646
1277,18Eos,636.0,4,4,HPC,0.598998
1278,15Mo,3064.0,2,2,Neutrophils,0.318536
1279,5Ery,3268.0,18,18,Ery2,0.5860626
1280,7MEP,354.0,8,8,Ery4,0.25787348
1281,2Ery,3370.0,10,10/Ery,Ery0,0.7525369
1282,13Baso,2973.0,24,24/Mo,Monocyte Progenitor,0.32813326
1283,14Mo,1597.0,9,9,Monocyte Progenitor,0.3071038
1284,6Ery,905.0,12,12,Ery4,0.31673372
1285,5Ery,2228.0,18,18,Ery2,0.6056942
1286,4Ery,4782.0,15,15,Ery1,0.6973363
1287,13Baso,1711.0,11,11,Monocyte Progenitor,0.1998864
1288,7MEP,640.0,12,12,Ery4,0.25879544
1289,5Ery,853.0,7,7,Ery4,0.4443878
1290,5Ery,2430.0,6,6,Ery1,0.5349723
1291,10GMP,826.0,0,0,HPC,0.0915378
1292,16Neu,2736.0,19,19/Neu,Neutrophils,0.3885476
1293,2Ery,6312.0,3,3,Ery0,0.72653866
1294,14Mo,3445.0,1,1,Monocyte Progenitor,0.3027321
1295,3Ery,4294.0,17,17,Ery0,0.78271836
1296,2Ery,4516.0,3,3,Ery0,0.7152141
1297,10GMP,1623.0,0,0,HPC,0.17131047
1298,16Neu,1938.0,2,2,Neutrophils,0.29997844
1299,8Mk,870.0,8,8,Ery4,0.19028711
1300,6Ery,1293.0,7,7,Ery4,0.29411516
1301,15Mo,3973.0,1,1,Monocyte Progenitor,0.28915048
1302,5Ery,3261.0,15,15,Ery1,0.5815062
1303,10GMP,1083.0,0,0,HPC,0.17950596
1304,7MEP,470.0,8,8,Ery4,0.24442823
1305,14Mo,4265.0,1,1,Monocyte Progenitor,0.2443676
1306,19Lymph,337.0,21,21,DC,inf
1307,2Ery,7283.0,3,3,Ery0,0.83907354
1308,15Mo,3104.0,2,2,Neutrophils,0.20660445
1309,3Ery,3429.0,17,17,Ery0,0.7779505
1310,6Ery,1667.0,18,18,Ery2,0.5305429
1311,1Ery,3180.0,10,10/Ery,Ery0,0.876011
1312,2Ery,4619.0,17,17,Ery0,0.81061924
1313,3Ery,5212.0,17,17,Ery0,0.81845075
1314,4Ery,5568.0,3,3,Ery0,0.75315493
1315,6Ery,1942.0,7,7,Ery4,0.52156633
1316,13Baso,2031.0,11,11,Monocyte Progenitor,0.22331667
1317,3Ery,4182.0,3,3,Ery0,0.5653009
1318,5Ery,2411.0,18,18,Ery2,0.5347623
1319,14Mo,387.0,2,2,Neutrophils,0.3812004
1320,13Baso,3719.0,4,4,HPC,0.30669907
1321,13Baso,1693.0,0,0,HPC,0.23204434
1322,3Ery,3893.0,3,3,Ery0,0.6985086
1323,4Ery,5468.0,15,15,Ery1,0.6515099
1324,7MEP,526.0,12,12,Ery4,0.24791166
1325,10GMP,940.0,0,0,HPC,0.20476641
1326,11DC,1498.0,23,23,Lymph,inf
1327,3Ery,4408.0,3,3,Ery0,0.71365
1328,13Baso,1310.0,0,0,HPC,0.13157672
1329,2Ery,3787.0,6,6,Ery1,0.55818427
1330,13Baso,1645.0,9,9,Monocyte Progenitor,0.3059639
1331,2Ery,6482.0,3,3,Ery0,0.74734867
1332,4Ery,3527.0,3,3,Ery0,0.6499179
1333,10GMP,635.0,0,0,HPC,0.07809014
1334,16Neu,2178.0,19,19/Neu,Neutrophils,0.40067938
1335,14Mo,1098.0,2,2,Neutrophils,0.22778937
1336,16Neu,2101.0,14,14,Neutrophils,0.31903225
1337,10GMP,776.0,16,16/Stem,Early Progenitor,0.045545086
1338,2Ery,2741.0,6,6,Ery1,0.70306575
1339,2Ery,3679.0,3,3,Ery0,0.7864774
1340,6Ery,1435.0,7,7,Ery4,0.46613476
1341,3Ery,4992.0,3,3,Ery0,0.7098
1342,14Mo,3303.0,1,1,Monocyte Progenitor,0.2664142
1343,14Mo,1149.0,4,4,HPC,0.16013646
1344,15Mo,2032.0,2,2,Neutrophils,0.31197628
1345,10GMP,2197.0,0,0,HPC,0.09928225
1346,13Baso,1549.0,9,9,Monocyte Progenitor,0.31519336
1347,3Ery,2428.0,15,15,Ery1,0.60903454
1348,7MEP,618.0,8,8,Ery4,0.24016854
1349,13Baso,2996.0,1,1,Monocyte Progenitor,0.21473001
1350,2Ery,2873.0,5,5,Ery0,0.77580804
1351,14Mo,4458.0,0,0,HPC,0.19040762
1352,14Mo,2575.0,9,9,Monocyte Progenitor,0.28493527
1353,15Mo,2256.0,1,1,Monocyte Progenitor,0.29920468
1354,4Ery,4332.0,3,3,Ery0,0.7749364
1355,15Mo,2820.0,2,2,Neutrophils,0.32378563
1356,14Mo,3608.0,9,9,Monocyte Progenitor,0.2772664
1357,10GMP,551.0,0,0,HPC,0.058262598
1358,13Baso,1597.0,0,0,HPC,0.11659272
1359,16Neu,2507.0,2,2,Neutrophils,0.28328687
1360,8Mk,1629.0,20,20/Mk,Mep,0.3092774
1361,13Baso,2464.0,11,11,Monocyte Progenitor,0.2365849
1362,5Ery,3154.0,18,18,Ery2,0.6038318
1363,6Ery,1240.0,7,7,Ery4,0.37166896
1364,14Mo,2306.0,4,4,HPC,0.19356357
1365,2Ery,2884.0,3,3,Ery0,0.69684905
1366,6Ery,1939.0,7,7,Ery4,0.49240395
1367,3Ery,7228.0,15,15,Ery1,0.6908941
1368,14Mo,629.0,4,4,HPC,0.2230971
1369,7MEP,1264.0,12,12,Ery4,0.2640279
1370,7MEP,366.0,8,8,Ery4,0.22995801
1371,14Mo,3205.0,1,1,Monocyte Progenitor,0.25112566
1372,5Ery,1336.0,13,13,Ery3,0.4960598
1373,13Baso,2093.0,24,24/Mo,Monocyte Progenitor,0.30330178
1374,2Ery,2347.0,5,5,Ery0,0.7144153
1375,16Neu,2236.0,2,2,Neutrophils,0.25154063
1376,12Baso,793.0,12,12,Ery4,0.23428982
1377,14Mo,2361.0,4,4,HPC,0.24082284
1378,8Mk,812.0,20,20/Mk,Mep,0.3219747
1379,4Ery,4196.0,6,6,Ery1,0.69573736
1380,3Ery,8102.0,3,3,Ery0,0.7484616
1381,2Ery,4974.0,3,3,Ery0,0.6945094
1382,14Mo,3103.0,9,9,Monocyte Progenitor,0.24727438
1383,7MEP,483.0,12,12,Ery4,0.22370361
1384,19Lymph,717.0,21,21,DC,inf
1385,7MEP,1662.0,20,20/Mk,Mep,0.1948829
1386,10GMP,721.0,16,16/Stem,Early Progenitor,0.12875627
1387,13Baso,1557.0,11,11,Monocyte Progenitor,0.26193967
1388,2Ery,3799.0,10,10/Ery,Ery0,0.8133142
1389,2Ery,2796.0,10,10/Ery,Ery0,0.7189278
1390,3Ery,3468.0,3,3,Ery0,0.7054358
1391,3Ery,5791.0,15,15,Ery1,0.72868717
1392,6Ery,1249.0,18,18,Ery2,0.5292548
1393,7MEP,526.0,8,8,Ery4,0.17047381
1394,8Mk,930.0,0,0,HPC,0.07710346
1395,2Ery,422.0,13,13,Ery3,0.55085313
1396,1Ery,3412.0,17,17,Ery0,0.77312547
1397,9GMP,841.0,0,0,HPC,0.03343456
1398,13Baso,4483.0,24,24/Mo,Monocyte Progenitor,0.31264824
1399,15Mo,933.0,1,1,Monocyte Progenitor,0.3094986
1400,6Ery,985.0,7,7,Ery4,0.2996739
1401,13Baso,4310.0,11,11,Monocyte Progenitor,0.3183026
1402,3Ery,5192.0,3,3,Ery0,0.6424604
1403,16Neu,3492.0,19,19/Neu,Neutrophils,0.3565813
1404,14Mo,3349.0,11,11,Monocyte Progenitor,0.27214304
1405,5Ery,2279.0,15,15,Ery1,0.6940826
1406,7MEP,490.0,8,8,Ery4,0.23704325
1407,13Baso,1608.0,9,9,Monocyte Progenitor,0.27392933
1408,4Ery,3623.0,18,18,Ery2,0.60651374
1409,13Baso,2700.0,11,11,Monocyte Progenitor,0.25944927
1410,2Ery,5261.0,3,3,Ery0,0.6892256
1411,15Mo,1407.0,2,2,Neutrophils,0.23066041
1412,7MEP,419.0,8,8,Ery4,0.16317867
1413,3Ery,3696.0,3,3,Ery0,0.6892249
1414,10GMP,1135.0,0,0,HPC,0.13293499
1415,13Baso,4196.0,11,11,Monocyte Progenitor,0.22158323
1416,3Ery,4071.0,3,3,Ery0,0.7428915
1417,1Ery,3460.0,10,10/Ery,Ery0,0.81154436
1418,13Baso,2457.0,0,0,HPC,0.14083658
1419,13Baso,1622.0,4,4,HPC,0.18825735
1420,7MEP,626.0,8,8,Ery4,0.24677211
1421,16Neu,1860.0,1,1,Monocyte Progenitor,0.3112558
1422,14Mo,1606.0,4,4,HPC,0.18803361
1423,3Ery,6671.0,17,17,Ery0,0.8278009
1424,2Ery,3344.0,3,3,Ery0,0.7565945
1425,1Ery,3417.0,17,17,Ery0,0.7970491
1426,13Baso,2186.0,9,9,Monocyte Progenitor,0.27090755
1427,15Mo,5102.0,2,2,Neutrophils,0.35133997
1428,8Mk,1685.0,20,20/Mk,Mep,0.20350772
1429,2Ery,3603.0,17,17,Ery0,0.8078186
1430,14Mo,2582.0,24,24/Mo,Monocyte Progenitor,0.2941955
1431,14Mo,2475.0,1,1,Monocyte Progenitor,0.2803826
1432,14Mo,1391.0,1,1,Monocyte Progenitor,0.22394527
1433,9GMP,1816.0,0,0,HPC,0.086796194
1434,14Mo,2161.0,9,9,Monocyte Progenitor,0.2532845
1435,14Mo,1503.0,0,0,HPC,0.18877254
1436,2Ery,4127.0,5,5,Ery0,0.7304822
1437,7MEP,562.0,12,12,Ery4,0.2624287
1438,2Ery,4855.0,17,17,Ery0,0.81969035
1439,16Neu,1420.0,19,19/Neu,Neutrophils,0.41815224
1440,10GMP,3013.0,0,0,HPC,0.14253713
1441,6Ery,931.0,7,7,Ery4,0.41896954
1442,2Ery,4852.0,10,10/Ery,Ery0,0.7882798
1443,15Mo,1924.0,4,4,HPC,0.21219334
1444,14Mo,1779.0,4,4,HPC,0.16723578
1445,15Mo,3483.0,14,14,Neutrophils,0.3636891
1446,3Ery,3399.0,18,18,Ery2,0.5695943
1447,12Baso,1048.0,0,0,HPC,0.08377151
1448,2Ery,5269.0,3,3,Ery0,0.71662474
1449,13Baso,2544.0,0,0,HPC,0.15670103
1450,13Baso,2496.0,11,11,Monocyte Progenitor,0.2205907
1451,7MEP,514.0,8,8,Ery4,0.19600801
1452,6Ery,2948.0,7,7,Ery4,0.54743534
1453,5Ery,4884.0,15,15,Ery1,0.6652476
1454,2Ery,934.0,5,5,Ery0,0.75999427
1455,19Lymph,838.0,21,21,DC,inf
